0.21s	5.203	-0.251	5.626
0.31s	5.237	-0.246	5.654
0.42s	5.218	-0.238	5.637
0.53s	5.226	-0.250	5.638
0.63s	5.221	-0.254	5.641
0.74s	5.212	-0.246	5.665
0.85s	5.223	-0.238	5.628
0.95s	5.224	-0.266	5.626
1.06s	5.226	-0.247	5.603
1.16s	5.222	-0.253	5.612
1.27s	5.225	-0.251	5.625
1.38s	5.214	-0.261	5.636
1.49s	5.220	-0.251	5.637
1.60s	5.230	-0.259	5.623
1.70s	5.218	-0.249	5.626
1.81s	5.219	-0.257	5.605
1.92s	5.207	-0.273	5.616
2.02s	5.213	-0.262	5.640
2.13s	5.213	-0.249	5.632
2.24s	5.221	-0.246	5.626
2.35s	5.223	-0.251	5.621
2.45s	5.222	-0.249	5.640
2.56s	5.228	-0.251	5.628
2.67s	5.224	-0.252	5.618
2.78s	5.225	-0.248	5.651
2.88s	5.203	-0.252	5.619
2.99s	5.230	-0.246	5.628
3.10s	5.225	-0.265	5.637
3.21s	5.213	-0.262	5.623
3.32s	5.206	-0.256	5.645
3.42s	5.216	-0.252	5.645
3.53s	5.220	-0.264	5.660
3.64s	5.219	-0.275	5.649
